id,Vendor Name,Contract ID,Title/Purpose,Execution Date,Original Expiration Date,Current Expiration Date,Original Contract Amount,Current Contract Amount,Selection Process,Funding Sources,Modifications
L-00318779,MILLER NASH GRAHAM & DUNN LLP,L-00318779,POSFD INVESTIGATION,9/2/2016,12/31/2016,12/31/2017,"$14,000.00","$19,000.00",W,03040,Y
P-00318441,MOSS ADAMS LLP,P-00318441,EXTERNAL INDEPENDENT AUDIT,9/12/2016,9/11/2016,9/11/2018,"$2,000,000.00","$2,165,000.00",C,"00010, 03040",Y
S-00318784,TIMOTHY CROSS,S-00318784,ART HANDLER,9/6/2016,9/12/2019,9/12/2017,"$165,000.00","$19,561.57",C,03040,N
L-00318778,MILLER NASH GRAHAM & DUNN LLP,L-00318778,EMWGS MATTER,9/1/2016,12/31/2016,12/31/2017,"$25,000.00","$25,000.00",W,00021,Y
L-00318777,DAVIS WRIGHT TREMAINE,L-00318777,UNION PENSION MATTER,9/1/2016,12/31/2016,12/31/2017,"$5,000.00","$5,000.00",W,00010,Y
S-00318832,GALLS LLC,S-00318832,UNIFORMS & ACCESSORIES,9/1/2016,8/31/2021,8/31/2021,"$100,000.00","$9,852.94",C,,N
P-00318754,KODAMA PATH,P-00318754,E-LEARNING COURSE DESIGN AND DEVELOPMENT,8/31/2016,8/30/2017,8/30/2017,"$24,000.00","$24,000.00",C,03040,N
MC-0318699,PERFORMANCE ABATEMENT SERVICES,MC-0318699,REGULATED MATERIALS ABATEMENT MAIN TERMINAL ON-CALL,9/1/2016,9/1/2017,12/1/2017,"$4,000,000.00","$4,000,000.00",C,"03040, RET01",N
P-00318761,PACIFIC COMMUNICATIONS CONSULTANTS,P-00318761,EVENT PLANNING,8/31/2016,2/28/2017,2/28/2017,"$5,000.00","$7,452.00",S,00010,Y
SW-0318717,INSITUFORMS TECHNOLOGIES LLC,SW-0318717,T-46 CIPP STORM DRAIN RELINING,8/31/2016,2/28/2017,8/30/2017,"$250,710.00",$0.00,C,"00010, RET01",N
L-00318772,PORTER FOSTER RORICK,L-00318772,LEGAL,8/29/2016,8/29/2017,8/29/2017,"$20,000.00","$20,000.00",C,00010,N
S-00318752,CAFE PACIFIC INC,S-00318752,RFQ 16-02 STIA THE CONFERENCE CENTER EXCLUSIVE CATERER/CONCESSIONAIRE,8/25/2016,10/1/2019,10/1/2019,"$775,000.00",$0.00,C,03040,N
P-00318528,WINDWARD ENVIRONMENTAL LLC,P-00318528,TERMINAL 91 SEDIMENT CONTROL,8/25/2016,8/1/2019,8/1/2019,"$900,000.00","$900,000.00",C,00020,N
S-00318753,PACIFIC MARKET RESEARCH LLC,S-00318753,2016-9 SURVEY ADMINISTRATION SERVICES PMR,8/25/2016,8/25/2019,8/25/2019,"$300,000.00","$46,179.00",C,00010,N
L-00318765,DAVIS WRIGHT TREMAINE,L-00318765,ILWU_NWSA MATTER,8/23/2016,12/31/2016,12/31/2017,"$20,000.00","$22,000.00",W,00SPA,Y
S-00318729,BOSTON BARRICADE COMPANY,S-00318729,RENTAL OF MODULAR CONSTRUCTION BARRICADES AND VINYL WRAP,8/17/2016,8/17/2021,8/21/2021,"$3,000,000.00","$137,122.93",C,03040,N
SW-0318767,PLANTSCAPES INC,SW-0318767,LANDSCAPE STIA CENTRAL & NORTH AREAS,8/23/2016,8/23/2016,11/23/2017,"$300,000.00",$0.00,C,"03040, RET01",N
P-00318720,MANUFACTURING INDUSTRIAL COUNCIL,P-00318720,CORE PLUS SERVICES,8/15/2016,8/14/2018,8/14/2018,"$400,000.00","$400,000.00",W,00010,N
P-00318349,ADK CONSULTING & EXECUTIVE SEARCH,P-00318349,1630 DEMURO AVENG,8/17/2016,5/31/2016,8/16/2017,"$834,000.00","$109,000.00",C,03040,N
S-00318757,KINGDOM SECURITY,S-00318757,MARITIME SECURITY STAFF SERVICES,8/15/2016,8/31/2017,8/31/2017,"$8,000,000.00","$291,791.66",C,00010,N
P-00318348,"R. L. TOWNSEND & ASSOCIATES, LLC",P-00318348,BETTY TO REUSE CONTRACT NUMBER,8/9/2016,8/9/2021,8/8/2021,"$499,540.00","$499,540.00",C,00010,N
P-00318719,CHARLES F LENNOX,P-00318719,FISHERMEN'S TERMINAL PUBLIC INTERPRETATION PLAN,8/9/2016,8/9/2017,8/8/2017,"$45,000.00","$45,000.00",C,00010,Y
P-00318704,NBBJ GROUP,P-00318704,P69 LOBBY IMPROVEMENTS,8/4/2016,8/3/2017,8/3/2017,"$199,999.00","$199,999.00",C,00010,N
S-00318755,MARS,S-00318755,ELECTRONS RECYCLING FOR POS,8/9/2016,8/8/2017,8/8/2017,"$1,000.00",$0.00,C,00010,N
P-00318631,COFFMAN ENGINEERS INC,P-00318631,"TESTING, BALANCING AND SMOKE CONTROL SERVICES",8/8/2016,8/7/2017,8/7/2017,"$450,000.00","$450,000.00",C,03040,N
S-00318793,COMCAST,S-00318793,COMCAST BACKUP IN CASE OF POWER SHUT DOWN,8/1/2016,7/31/2017,7/31/2017,"$299,999.00","$39,707.85",C,00010,N
SW-0318751,CLINTON & SONS ELECTRIC INC,SW-0318751,ELECTRICAL ON-CALL PORTWIDE 2016-2,8/2/2016,9/28/2017,9/28/2017,"$300,000.00",$0.00,C,"03040, 03750, RET01",N
P-00318502,HONSHA INC,P-00318502,CPI CONSULTING IDIQ,8/3/2016,8/2/2019,8/2/2019,"$3,000,000.00","$3,000,000.00",C,00010,N
C-00318758,EQUILON ENTERPRISES LLC,C-00318758,LEASE YARD FOR PARKING @T-18,8/1/2016,7/31/2017,7/31/2017,"$80,635.08","$80,635.08",C,00SPA,N
S-00318861,CLAUDIA MALONE,S-00318861,EMPLOYMENT LAW COURSE,8/1/2016,12/31/2017,12/31/2017,"$17,500.00","$7,500.00",C,,N
FA-0318746,SRG PARTNERSHIP INC,FA-0318746,ART OVERSIGHT COMMITTEE PARTICIPANT,7/28/2016,7/31/2019,7/31/2019,"$2,500.00","$2,500.00",S,,N
S-00318747,APPLIED INDUSTRIAL TECHNOLOGY,S-00318747,CONVEYOR PARTS,7/29/2016,7/31/2017,7/31/2017,"$200,000.00","$104,106.20",C,03040,N
S-00318741,CENTURY LINK,S-00318741,LONG DISTANSE PHONE SVC,7/27/2016,7/26/2017,7/26/2017,"$50,000.00",$0.00,C,,N
L-00318735,SUMMIT LAW GROUP PLLC,L-00318735,LOCAL 9 SOC ISSUES MATTER,7/26/2016,12/31/2016,12/31/2017,"$5,000.00","$5,000.00",W,03040,Y
L-00318740,PORTER FOSTER RORICK,L-00318740,TNC RECORDS MATTER,7/26/2016,12/31/2016,12/31/2017,"$13,000.00","$13,000.00",W,00010,Y
L-00318734,SUMMIT LAW GROUP PLLC,L-00318734,LOCAL 9 SECURITY ISSUES MATTER,7/25/2016,12/31/2016,12/31/2017,"$30,000.00","$30,000.00",W,03040,Y
L-00318733,SUMMIT LAW GROUP PLLC,L-00318733,LOCAL 117 PERC COBUS MATTER,7/23/2016,12/31/2016,12/31/2017,"$5,000.00","$35,000.00",W,03040,Y
SW-0318662,EVERGREEN TECHNOLOGIES INC,SW-0318662,TELECOM ONCALL PORTWIDE 2016-2,7/23/2016,7/23/2017,12/31/2017,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",N
L-00318732,SUMMIT LAW GROUP PLLC,L-00318732,LOCAL 117 RCF BUS MATTER,7/22/2016,12/31/2016,12/31/2017,"$5,000.00","$5,000.00",W,03040,Y
P-00318437,ANCHOR QEA LLC,P-00318437,1350 SEAE&P SPANGLER,7/19/2016,7/18/2019,7/18/2019,"$1,000,000.00","$1,000,000.00",C,,N
P-00318474,"EMPLOYERS EDGE, LLC",P-00318474,UNEMPLOYMENT MANAGEMENT AND ADMINISTRATION,7/19/2016,4/30/2021,7/21/2021,"$34,883.00","$34,883.00",C,00010,N
P-00318607,ICF SH&E Inc.,P-00318607,CAREER PATHWAYS,7/19/2016,3/18/2017,7/19/2017,"$175,000.00","$175,000.00",C,00020,N
MC-0318605,M D MOORE CO INC,MC-0318605,C60 INTERIM - TSA SEARCH ROOM,7/18/2016,8/31/2017,3/16/2019,"$5,428,522.00","$5,438,522.00",C,03040,Y
P-00318722,RICONDO & ASSOCIATES INC,P-00318722,PLANNING IDIQ,7/14/2016,1/25/2021,1/25/2021,"$5,000,000.00","$5,000,000.00",C,,N
P-00318723,AECOM INC,P-00318723,PLANNING IDIQ,7/14/2016,1/25/2021,1/25/2021,"$2,250,000.00","$2,250,000.00",C,,N
S-00318726,CLEAN HARBORS ENVIRONMENTAL SVCS,S-00318726,ENVIRONEMTNAL SERVICES,7/14/2016,7/14/2017,7/13/2017,"$50,000.00","$29,338.81",C,,N
P-00318443,REID MIDDLETON INC,P-00318443,DOCKS & DIVING SUPPORT SERVICES IDIQ,7/11/2016,7/10/2017,7/10/2017,"$500,000.00","$500,000.00",C,,N
S-00318706,HOWROYD WRIGHT EMPLOYMENT AGENCY INC,S-00318706,TEMPORARY AGENCY STAFFING SERVICES,7/5/2016,6/30/2021,6/30/2021,"$1,250,000.00","$78,606.53",C,00010,N
P-00318385,OFFICE OF PORT JOBS,P-00318385,AIRPORT JOBS CONTRACT FOR WORKFORCE DEVELOPMENT,7/1/2016,12/31/2016,6/30/2018,"$4,050,000.00","$1,800,000.00",C,"00020, 03040",N
S-00318714,FATIMA PATRICIA SOTELO,S-00318714,JANITORIAL SUPPLIES,7/1/2016,6/30/2017,6/30/2017,"$25,000.00","$12,977.96",C,00010,N
S-00318742,CENTURY LINK,S-00318742,MONTHLY PHONE SVC,7/1/2016,6/30/2017,6/30/2017,"$50,000.00","$149,123.94",C,,N
P-00318673,HALEY & ALDRICH INC.,P-00318673,PORTWIDE RECOMMENDATIONS TO DEVELOP POS ENERGY PORTFOLIO,6/30/2016,12/30/2016,12/31/2016,"$48,620.00","$48,620.00",C,03040,N
P-00318599,THE GERMAN MARSHALL FUND OF THE UNITED,P-00318599,GERMAN MARSHALL FUND HAMBURG TRIP,6/30/2016,6/30/2017,6/30/2017,"$45,585.00","$45,585.00",S,00010,N
SW-0318711,V & R SHEET METAL LLC,SW-0318711,FALL PROTECTION AND BUILDING ENVELOPE,6/28/2016,9/21/2017,9/21/2017,"$300,000.00",$0.00,C,"00010, 03040, RET01",N
S-00318713,SCHINDLER ELEVATOR CORPORATION,S-00318713,MARITIME ELEVATOR AND ESCALATOR MAINT,6/30/2016,12/31/2016,1/31/2017,"$142,480.00","$23,832.59",C,00010,Y
S-00318707,EIDENT CONSULTING GROUP,S-00318707,TEMPORARY STAFFING SERVICES,6/27/2016,6/30/2021,6/30/2017,"$1,250,000.00","$4,340.25",C,00010,N
S-00318674,ACOUSTIC SOUND,S-00318674,2016 TOURISM PROMOTION,6/27/2016,12/15/2016,12/15/2016,"$9,574.00","$9,574.00",C,00010,N
S-00318801,IRON MOUNTAIN DIST 829,S-00318801,OFFSITE RECORD STORAGE,6/21/2016,10/20/2022,6/20/2022,"$400,000.00","$28,671.39",C,,N
P-00318225,ANCHOR QEA LLC,P-00318225,DREDGING IDIQ 1 OF 2,6/15/2016,6/14/2019,6/14/2019,"$1,500,000.00","$1,500,000.00",C,,N
P-00318568,PARSONS BRINCKERHOFF QUADE & DOUGLAS INC,P-00318568,4850 AVENV MEYN,6/21/2016,6/20/2017,6/20/2017,"$248,923.00","$248,923.00",C,03040,N
SW-0318637,SIEMENS BUILDING TECHNOLOGIES INC,SW-0318637,CENTRAL PLANT DDC PANEL UPGRADE,6/15/2016,12/30/2016,12/30/2016,"$262,650.00",$0.00,C,"03040, RET01",N
P-00318672,HARRIS MILLER MILLER & HANSON INC,P-00318672,NOISE CONSULTING,6/14/2016,6/14/2017,6/14/2017,"$45,000.00","$45,000.00",S,03040,N
L-00318696,STOEL RIVES LLP,L-00318696,STORMWATER CONTROL,6/9/2016,12/31/2016,12/31/2017,"$5,000.00","$5,000.00",W,00010,Y
S-00318911,SKAMANIA COUNTY CHAMBER OF COMMERCE,S-00318911,2016 TOURISM PROGRAM,6/13/2016,11/21/2016,12/31/2016,"$6,000.00","$3,233.01",C,00010,N
P-00318656,THOMAS PETEK PHD,P-00318656,PSYCHOLOGICAL TESTING/EVALUATION FOR POLICE DEPARTMENT,6/13/2016,6/13/2019,6/13/2019,"$30,000.00","$30,000.00",C,00010,N
MC-0318542,JEM CONTRACTORS INC,MC-0318542,CONTRACTOR PARKING LOT BUS STOPS,6/9/2016,12/16/2016,12/16/2017,"$692,533.00","$692,533.00",C,03040,N
P-00318536,SEATTLE GOODWILL,P-00318536,HIGH SCHOOL INTERN INITIATIVE,6/9/2016,6/8/2017,6/8/2017,"$10,020.00","$10,020.00",C,00010,N
L-00318697,STOEL RIVES LLP,L-00318697,PO,6/8/2016,12/31/2016,12/31/2017,"$10,000.00","$20,000.00",W,03040,Y
C-00318692,ACCESS ELECTRIC SUPPLY INC,C-00318692,400HZ POP UP PITS,6/7/2016,6/6/2021,6/8/2021,"$300,000.00","$300,000.00",C,"03040, 03750",N
P-00318636,"FAITH GROUP, LLC",P-00318636,SAFETY RISK ASSESSMENT FACILITATOR FOR BAGWELL SAFETY,6/7/2016,10/30/2016,10/30/2016,"$20,800.00","$20,800.00",S,03040,N
P-00318614,LANDRUM & BROWN INC,P-00318614,NOISE MONITOR EVALUATION,6/3/2016,6/3/2017,6/3/2017,"$49,750.00","$49,750.00",S,00010,N
P-00318670,"BERMELLO, AJAMIL & PARTNERS INC",P-00318670,PIER 66 FACADE CONCEPT DESIGN,6/1/2016,5/27/2016,5/1/2017,"$37,254.00","$37,254.00",C,00010,N
P-00318559,ALLIANT INSURANCE SERVICES INC,P-00318559,LIABILITY INSURANCE SERVICES,6/2/2016,2/4/2017,5/1/2019,"$500,000.00","$325,000.00",C,00010,N
P-00318473,BNP ASSOCIATES INC,P-00318473,BAGGAGE DESIGN IDIQ,6/1/2016,6/1/2016,8/8/2021,"$5,000,000.00","$5,000,000.00",C,,N
S-00318645,CHRISTENSEN WEST LLC,S-00318645,BULK FUEL - AIRPORT,5/27/2016,5/26/2021,5/26/2021,$0.00,"$273,640.57",C,03040,N
P-00318446,PACIFIC GROUNDWATER GROUP,P-00318446,T91 O&M AND COMPLIANCE MONITORING,5/19/2016,5/19/2016,11/15/2021,"$730,000.00","$730,000.00",C,00020,N
S-00318663,SOFTWAREONE,S-00318663,MICROSOFT SELECT,5/23/2016,5/30/2017,5/30/2017,"$50,000.00","$21,348.84",C,09999,N
S-00318659,X5 SOLUTIONS,S-00318659,LONG DISTANCE CALLING,5/20/2016,4/30/2015,4/30/2018,"$60,000.00","$132,537.81",C,,N
L-00318666,VAN NESS FELDMAN  LLP,L-00318666,VAN NESS FELDMAN LLP - AIRPORT MASTER PLAN REVIEW,5/24/2016,12/31/2016,12/31/2017,"$459,000.00","$250,000.00",C,03040,Y
L-00318668,DOUGLAS B M EHLKE,L-00318668,EHLKE-L I CITATION,5/26/2016,12/31/2016,12/31/2017,"$10,000.00","$50,000.00",W,03040,Y
P-00318557,"QUINN THOMAS PUBLIC AFFAIRS, LLC",P-00318557,CAMPAIGN FOR MIDDLE CLASS JOBS,5/18/2016,5/18/2017,5/18/2017,"$175,000.00","$175,000.00",C,00010,N
SW-0318618,EHS INTERNATIONAL INC,SW-0318618,GENERAL CONTRACTOR SUPPORT ON-CALL  PORTWIDE 2016,5/10/2016,5/10/2017,12/31/2017,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",N
P-00318647,AVIATION RESEARCH CORPORATION,P-00318647,AIRSIDE MODELING AND TRAINING FOR PORT STAFF,5/10/2016,5/10/2017,5/10/2017,"$17,868.00","$17,868.00",S,03040,N
L-00318660,KEATING BUCKLIN & MCCORMACK INC PS,L-00318660,LEGAL SVCS,5/5/2016,12/31/2016,12/31/2017,"$25,000.00","$25,000.00",C,00010,Y
P-00318604,AIRPORT & AVIATION PROFESSIONALS INC,P-00318604,AIRLINE TECHNICAL REPRESENTATIVE SERVICES,5/10/2016,5/9/2019,5/9/2019,"$2,000,000.00","$2,000,000.00",C,03040,N
P-00318624,S2 Strategy,P-00318624,MARITIME BUSINESS DEVELPMENT AND CONSULTING,5/5/2016,5/5/2017,5/5/2017,"$49,950.00","$49,950.00",S,00010,N
P-00318609,KIVU CONSULTING INC,P-00318609,2280/ NANCEKIVELL / INT AUDIT,5/3/2016,5/2/2016,5/2/2017,"$46,000.00","$46,000.00",C,00010,N
S-00318633,MVP PHYSICAL THERAPY,S-00318633,FIRE DEPT. FITNESS & WELLNESS PROGRAM,5/4/2016,5/3/2022,5/3/2022,"$300,000.00","$28,427.00",C,03040,N
S-00318649,GENERAL BIODIESEL SEATTLE LLC,S-00318649,USED COKING OIL RECYCLING,5/1/2016,4/30/2017,4/30/2017,$0.00,$0.00,C,03040,N
S-00318643,"PETROCARD SYSTEMS, INC.",S-00318643,BULK FUEL - SEAPORT PROPERTIES,5/4/2016,5/3/2021,5/3/2021,"$1,500,000.00","$77,433.22",C,00010,N
S-00318642,HSS INC,S-00318642,QUEUE MANAGEMENT SERVICES,5/1/2016,1/7/2017,1/7/2017,"$3,300,000.00","$2,177,954.74",W,03040,N
P-00318453,LANDRUM & BROWN INC,P-00318453,SAMP ENVIRONMENTAL REVIEW,4/27/2016,6/30/2018,6/30/2018,"$3,000,000.00","$3,000,000.00",C,03040,N
P-00318497,PLANNING & MANAGEMENT SERVICES INC,P-00318497,PROJECT CONTROLS,4/28/2016,4/27/2017,4/28/2017,"$1,000,000.00","$1,000,000.00",C,03040,N
S-00318613,EMERALD SERVICES,S-00318613,WASTE RECYCLING/DISPOSAL,4/29/2016,3/17/2017,4/28/2017,"$2,000.00","$2,489.00",C,03040,Y
MC-0318312,REGENCY NW CONSTRUCTION INC,MC-0318312,CENTRAL TERMINAL STAIRS,4/27/2016,11/3/2016,8/22/2018,"$788,000.00","$821,778.00",C,03040,Y
L-00318644,FOSTER PEPPER PLLC,L-00318644,STEVE PELTIN,4/22/2016,4/22/2017,4/22/2017,"$40,000.00","$40,000.00",S,00010,N
P-00318550,SANFORD REDERER,P-00318550,SHARMA / AIRPORTOPS,4/22/2016,4/21/2016,4/21/2019,"$195,000.00","$195,000.00",C,03040,N
MC-0318459,RAILWORKS TRACK SYSTEMS INC,MC-0318459,TERMINAL 18 SOUTH GATE RAIL SPUR,4/25/2016,9/12/2016,3/12/2017,"$699,007.00","$699,007.00",C,CASPA,N
P-00318589,EXECUTIVE TEAM LLC,P-00318589,ZERO BASED BUDGETING CONSULTING SERVICES,4/22/2016,12/31/2016,7/29/2016,"$199,999.00","$199,999.00",C,00010,Y
S-00318651,DELL MARKETING LP,S-00318651,SERVER MAINTENANCE CONTRACT,4/22/2016,4/21/2017,4/21/2017,"$40,000.00","$18,041.20",C,00010,N
SW-0318641,SHINN MECHANICAL INC,SW-0318641,PLB'S HVAC ON-CALL STIA,4/22/2016,12/31/2017,12/31/2017,"$300,000.00","$300,000.00",C,"03750, RET01",N
L-00318639,SCHWABE WILLIAMSON & WYATT,L-00318639,PO RE O'LEARY V. POS,4/21/2016,12/31/2016,12/31/2017,"$20,000.00","$20,000.00",W,03040,Y
MC-0318450,GARY MERLINO CONSTRUCTION CO,MC-0318450,2016 FUEL SYSTEMS MODIFICATIONS,4/25/2016,5/20/2017,2/20/2018,"$2,772,090.00","$3,162,888.26",C,03040,Y
L-00318640,SCHWABE WILLIAMSON & WYATT,L-00318640,PO - CARSON V. POS,4/20/2016,12/31/2016,12/31/2017,"$50,000.00","$50,000.00",W,03040,Y
SW-0318584,CLINTON & SONS ELECTRIC INC,SW-0318584,ELECTRICAL ON-CALL BAGGAGE HANDLING SYSTEMS,4/22/2016,4/22/2017,4/22/2017,"$300,000.00",$0.00,C,"03040, RET01",N
P-00318498,RIDER LEVETT BUCKNALL LTD,P-00318498,COST ESTIMATING SUPPORT SERVICES IDIQ,4/20/2016,4/17/2017,4/20/2017,"$1,000,000.00","$1,000,000.00",C,03040,N
P-00318616,CASCADIA CONSULTING GROUP,P-00318616,SOLID WASTE FORECAST & CAPACITY ANALYSIS,4/19/2016,4/19/2017,4/19/2017,"$29,945.00","$36,115.00",C,03040,N
P-00318617,PATTI DOBROWOLSKI LLC,P-00318617,BE THE CHANGE LEADERSHIP CONFERENCE FACILITATION,4/19/2016,4/18/2017,4/18/2017,"$18,620.00","$49,999.00",C,00010,N
SW-0318635,WESTGRO CORPORATION,SW-0318635,LANDSCAPE MAINTENANCE CENTRAL & NORTH STIA,4/15/2016,6/20/2017,6/20/2017,"$300,000.00",$0.00,C,"03040, RET01",N
MC-0318145,KRUEGER SHEET METAL CO.,MC-0318145,ALASKA HANGAR ONE AND GSE ROOF REPLACEMENT,4/18/2016,9/19/2016,9/19/2017,"$1,199,115.00","$1,199,115.00",C,03040,Y
L-00318622,GARVEY SHUBERT & BARER,L-00318622,SAC ACCOMMODATION,4/5/2016,12/31/2016,12/31/2017,"$50,000.00","$50,000.00",W,03040,Y
P-00318601,Target Industry Prospects,P-00318601,TRADE MISSION SUPPORT,4/13/2016,4/13/2016,4/13/2017,"$49,000.00","$49,000.00",S,00010,N
SW-0318574,"APOLLO SHEET METAL, INC.",SW-0318574,MECHANICAL & PLUMBING ON-CALL PORTWIDE 2016,4/5/2016,3/29/2017,10/5/2017,"$300,000.00",$0.00,C,"03040, 03750, RET01",N
MC-0318480,Biwell Construction Inc,MC-0318480,T102 HMCC ROOF & HVAC UNITS REPLACE,4/6/2016,10/29/2016,12/30/2016,"$3,323,414.00","$3,349,706.17",C,00010,N
P-00318628,REID MIDDLETON INC,P-00318628,INFRASTRUCTURE IDIQ,4/6/2016,6/1/2017,8/2/2017,"$300,000.00","$300,000.00",C,"00020, 03040",N
S-00318763,WELLS FARGO BANK,S-00318763,SECURITY CUSTODY SERVICES,4/1/2016,10/31/2020,10/31/2020,"$300,000.00","$3,537.53",C,,N
S-00318620,WPX COURIER LLC,S-00318620,COURIER SERVICE,4/1/2016,3/31/2018,3/31/2018,"$50,000.00","$18,457.61",C,,N
P-00318581,JACOBS ENGINEERING GROUP INC,P-00318581,PLANNING SERVICES FOR SUSTAINABLE AIRPORT MASTER PLAN (SAMP),3/31/2016,3/31/2017,3/31/2017,"$239,000.00","$239,000.00",C,03040,N
P-00318555,"STANTEC CONSULTING SERVICES, INC.",P-00318555,FIRE DEPARTMENT ACOUSTIC STUDY,3/31/2016,3/31/2017,3/31/2017,"$3,000.00","$3,000.00",C,03040,N
P-00318510,PLANNING & MANAGEMENT SERVICES INC,P-00318510,ASSET COST ESTIMATOR SERVICES IDIQ,3/31/2016,3/31/2017,3/31/2017,"$195,000.00","$195,000.00",C,03040,N
P-00318587,Katharine Sweeney Ship Services,P-00318587,GREEN MARINE AUDIT VERIFICATION,3/31/2016,3/31/2017,3/31/2017,"$4,200.00","$4,200.00",C,00010,N
P-00318608,PARSONS BRINCKERHOFF QUADE & DOUGLAS INC,P-00318608,EVALUATE TSA SECURITY CHECKPOINTS,3/31/2016,3/31/2017,3/31/2017,"$49,999.00","$49,999.00",S,03040,N
P-00318594,JOHN ENGBER & ASSOC,P-00318594,POLICY DEVELOPMENT CONSULTING,3/31/2016,3/31/2017,3/31/2017,"$49,000.00","$49,000.00",S,00010,N
I-00318619,PUGET SOUND REGIONAL FIRE AUTHORITY,I-00318619,ILA FIRE VEHICLE MAINTENANCE SERVICES,3/23/2016,12/31/2016,12/31/2017,"$3,000,000.00","$3,000,000.00",S,03040,Y
P-00318436,FLOYD SNIDER INC,P-00318436,1350/SEAENV/SPANGLER,3/23/2016,3/22/2019,3/22/2019,"$1,000,000.00","$1,000,000.00",C,00020,N
C-00318602,PARKINGSOFT LLC,C-00318602,PARKING REVENUE CONTROL SYSTEM,3/18/2016,3/17/2021,3/17/2021,"$1,646,016.36","$1,646,016.36",C,03040,N
L-00318615,KEATING BUCKLIN & MCCORMACK INC PS,L-00318615,KEATING-STOCKWELL,3/21/2016,12/31/2016,12/31/2017,"$7,000.00","$150,000.00",W,00010,Y
P-00318592,Strategies 360,P-00318592,1200 / COMM OFFICE / MMERRITT,3/18/2016,3/18/2016,3/18/2017,"$49,999.00","$49,999.99",W,00010,N
SW-0318575,COMMERCIAL INDUSTRIAL ROOFING,SW-0318575,WTC-W ROOF DECK REPLACEMENT,3/21/2016,2/18/2017,9/21/2016,"$177,074.02",$0.00,C,"00010, RET01",Y
P-00318595,Research Consultants International,P-00318595,TRADE MISSION SUPPORT,3/21/2016,3/21/2016,3/21/2017,"$49,000.00","$49,000.00",S,00010,N
S-00318588,PRAXAIR,S-00318588,COMPRESSED GASES & CYLINDER RENTALS,3/18/2016,1/31/2017,1/31/2017,"$50,000.00","$12,926.46",C,00010,Y
SW-0318533,GOOD NEWS GROUP INC,SW-0318533,GERERAL CONST. SUPPORT AVIATION MAINTENANCE ON-CALL 2016,3/16/2016,12/3/2017,12/16/2017,"$300,000.00","$300,000.00",C,"03040, RET01",N
S-00318600,IRIS WINDOW COVERINGS INC,S-00318600,REPAIR SHADES AOB ONLY,3/11/2016,3/10/2017,3/10/2017,"$3,600.00","$2,949.67",C,03040,N
SW-0318700,RAILWORKS TRACK SYSTEMS INC,SW-0318700,RR SPUR REPAIR & IMPROVEMENTS ON-CALLSEAPORT,3/14/2016,12/14/2017,12/14/2017,"$300,000.00","$300,000.00",C,"00010, 00SPA, RET01",N
P-00318554,HEALTHENTIC INC.,P-00318554,SELF-INSURED MEDICAL PLAN COST SAVINGS ANALYSIS,3/10/2016,3/10/2017,3/10/2017,"$45,000.00","$45,000.00",C,"00010, 00050",N
P-00318428,BOSTON CONSULTING GROUP,P-00318428,PROCUREMENT OPTIMIZATION SERVICES,3/4/2016,12/31/2016,12/31/2016,"$240,000.00","$4,000,000.00",C,00010,Y
P-00318571,APGAR & ASSOC. LLC,P-00318571,2280 / INTERNAL AUDITS/ NANCEKIVEL,3/10/2016,3/9/2017,3/9/2017,"$39,500.00","$39,500.00",C,00010,N
P-00318229,DH ENVIRONMENTAL INC,P-00318229,ENVIRONMENTAL CONSTRUCTION SUPPORT SERVICES IDIQ,3/3/2016,3/2/2019,3/2/2019,"$2,300,000.00","$2,300,000.00",C,03040,N
FA-0318566,JOHN GRADE,FA-0318566,NSAT CENTRAL WESIDE WALL,3/3/2016,6/30/2016,12/31/2017,"$50,000.00","$85,000.00",C,"03040, 03750",Y
SW-0318488,AMERICAN CONSTRUCTION CO INC,SW-0318488,RAILROAD SPUR REPAIRS AND IMPROVEMENTS SEAPORT 2016,3/4/2016,11/5/2017,11/5/2017,"$300,000.00","$300,000.00",C,,N
P-00318586,DELTA DENTAL OF WASHINGTON,P-00318586,REPLACES WDS CONTRACT # P-00317211,3/2/2016,12/31/2017,12/31/2017,"$422,584.54","$422,584.54",C,00050,N
I-00318695,CITY OF SEATTLE,I-00318695,PROJECT FACILITATION SERVICES,3/1/2016,2/28/2018,2/28/2018,"$230,000.00","$230,000.00",S,00010,N
P-00318551,ROBERT MAKI,P-00318551,CANARY II SCULPTURE RELOCATION,3/1/2016,2/28/2017,2/28/2017,"$40,000.00","$40,000.00",C,03040,N
P-00318503,KPFF INC,P-00318503,INFRASTRUCTURE SUPPORT SERVICES IDIQ,3/1/2016,10/23/2017,10/23/2017,"$2,000,000.00","$2,000,000.00",C,03040,N
L-00318585,ROBYNNE T PARKINSON,L-00318585,THAXTON PARKINSON-STANDBY UTILITY,3/1/2016,12/31/2016,12/31/2017,"$30,000.00","$30,000.00",W,03750,Y
P-00318569,Strategies 360,P-00318569,PUBLIC OPINION POLLING,2/26/2016,2/26/2017,2/26/2017,"$30,000.00","$30,000.00",S,00010,N
FA-0318495,MUSE ATELIER ART AND ARCHITECTURE INC,FA-0318495,ART SERVICES NSAT NORTH LOUNGE,2/25/2016,6/30/2016,12/31/2017,"$33,000.00","$49,070.20",C,03750,Y
